subjID,fb,blkorder,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
33,2,1,717.6034483,692.5,708.8571429,725.8135593,773.0416667,756.52,766.3461538,754.4
34,2,1,634.6938776,632.9,627.04,647.9568345,675.6216216,707.6060606,696,677.6
35,2,1,664.2536232,702.7931034,673.9333333,668.5131579,664.1142857,682.3243243,652.5,660.5555556
36,2,1,666.7173913,730.0416667,699.2758621,712.048,738.5555556,770,815.5555556,815.3
37,2,1,572.5833333,588.7586207,587.8709677,624.6363636,582.5675676,612.35,638.3888889,650.1470588
38,2,1,562.3972603,567.7241379,548.1034483,564.9097222,607.8378378,609.2777778,617.9428571,599.8571429
39,2,1,530.7891156,534.5,522.7741935,536.9795918,541.0263158,556.5555556,658.1388889,652
40,2,1,531.7531646,596.34375,512.34375,537.6903226,625.3076923,627.4864865,613,611.425
41,2,1,718.3709677,693.8571429,692.8333333,731.1165049,760.56,756.8214286,729.4,755.4074074
42,2,1,566.9509202,643.7,573.3125,578.6038961,573.1052632,585.1052632,587.4722222,626.1025641
43,2,1,566.2550336,577.0344828,574.3448276,635.5347222,624.225,670.4117647,643.3030303,632.5833333
44,2,1,634.4026846,630.6875,665.6774194,640.0377358,632.0512821,645.6410256,660.475,667.7222222
45,2,1,541,561.7741935,527.0645161,566.589404,581.625,624.8055556,603.974359,640.4054054
46,2,2,664.4551724,694.44,639.8275862,667.3576159,685.7058824,699.03125,686.8181818,701.2058824
47,2,2,689.5095541,709.8064516,691.8275862,695.4489796,705.15,741.8648649,727.8181818,731.6756757
48,2,2,586.2,590.4516129,604.2758621,596.7045455,614.1764706,632.0789474,614.3076923,630.1
49,2,2,633.4285714,615.2666667,605.4193548,596.5833333,687.575,660.1944444,656.625,675.6176471
50,2,2,550.6381579,590.6774194,579.78125,557.490566,609.4516129,595.3611111,599.8235294,617.4102564
51,2,2,607.4367089,623,640.53125,616.4161074,658.4871795,644.4358974,623.9230769,651.3076923
52,2,2,624.3407407,634.875,668.1153846,646.0503597,667.1428571,692.28,688.5714286,688.4242424
53,2,2,641.1167883,650.5,615.5666667,648.5581395,676.2432432,722.1071429,647.2758621,683.875
54,2,2,654.437037,663.875,687.2666667,682.9323308,720.68,715.9583333,743.1481481,741.6774194
55,2,2,636.9428571,713.3809524,662.1034483,688.625,739.8,794.1428571,699.78125,758.8571429
56,2,2,600.9655172,627.7692308,581.3928571,585.9261745,644.5294118,681.7058824,632.8235294,681.7631579
57,2,2,689.6821192,729.9642857,705.7931034,689.0748299,735.1212121,747.3611111,761.7142857,752.2571429
58,2,2,646.4746835,669.8064516,600.3793103,613.4615385,701.6,696.15,660.4545455,657.8888889
59,2,2,641.9928058,654.7727273,703.1666667,660.0714286,646.5517241,683.3333333,686.9117647,721.3636364
60,2,2,502.0536913,570.6774194,482.2,460.9375,526,555.6176471,496.5454545,514.675
