subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
46,1,0.907407407,0.968944099,0.932098765,0.872727273,0.972222222,0.945945946,1,0.885714286
47,1,0.962962963,0.944444444,0.975460123,0.830188679,0.972222222,0.972222222,1,0.972972973
48,1,0.981481481,0.90797546,0.937888199,0.777777778,0.972222222,0.942857143,0.972972973,0.916666667
49,1,0.944444444,0.773006135,0.845679012,0.867924528,0.944444444,0.833333333,0.944444444,0.861111111
50,1,0.703703704,0.906832298,0.889570552,0.685185185,0.805555556,0.833333333,0.861111111,0.833333333
51,1,0.981481481,0.987654321,0.99382716,0.981481481,1,1,0.972972973,0.944444444
52,1,0.962962963,0.962732919,0.950920245,0.888888889,1,0.888888889,0.861111111,0.888888889
53,1,0.909090909,0.932098765,0.857142857,0.796296296,0.888888889,0.888888889,0.722222222,0.75
54,1,0.962962963,0.944444444,0.962732919,0.927272727,0.972222222,1,0.945945946,0.914285714
55,1,0.962962963,0.97515528,0.963190184,0.944444444,0.972972973,0.916666667,0.942857143,0.972222222
56,1,0.944444444,0.938271605,0.888888889,0.833333333,0.888888889,0.942857143,0.891891892,0.833333333
57,1,0.907407407,0.773006135,0.820987654,0.679245283,0.888888889,0.805555556,0.916666667,0.861111111
58,1,0.796296296,0.740740741,0.759259259,0.611111111,0.888888889,0.945945946,0.885714286,0.861111111
59,1,0.927272727,0.875776398,0.820987654,0.740740741,0.828571429,0.888888889,0.756756757,0.833333333
60,1,0.963636364,0.888888889,0.919753086,0.924528302,0.914285714,0.944444444,0.944444444,0.891891892
61,2,0.981818182,0.925925926,0.950310559,0.907407407,0.944444444,1,0.972222222,0.972222222
62,2,1,0.993865031,0.962732919,1,0.972222222,0.942857143,0.972222222,0.972972973
63,2,0.981481481,0.993865031,0.937888199,0.962962963,0.972222222,0.944444444,0.944444444,0.972222222
64,2,1,0.968944099,0.962962963,0.927272727,0.891891892,0.916666667,0.944444444,0.971428571
65,2,0.781818182,0.807453416,0.895061728,0.925925926,0.971428571,0.972222222,1,0.864864865
66,2,0.925925926,0.87654321,0.894409938,0.8,0.891891892,0.833333333,0.777777778,0.8
67,2,1,0.981481481,0.975460123,0.962962963,1,1,0.916666667,0.972222222
68,2,0.981481481,0.944785276,0.932098765,0.962264151,0.972222222,0.942857143,1,0.918918919
69,2,0.981481481,0.98136646,0.938271605,0.963636364,0.972222222,0.972222222,0.918918919,0.971428571
70,2,0.925925926,0.938271605,0.937888199,0.963636364,0.972222222,0.945945946,0.916666667,1
71,2,1,0.981481481,0.981481481,1,0.972972973,0.972222222,0.942857143,0.944444444
72,2,0.87037037,0.845679012,0.770186335,0.763636364,0.888888889,0.837837838,0.777777778,0.857142857
73,2,1,0.913580247,0.907407407,1,0.944444444,1,0.944444444,0.916666667
74,2,0.981818182,0.97515528,0.969135802,0.962962963,0.972222222,0.944444444,0.972222222,0.972222222
75,2,0.981818182,0.962732919,0.987654321,0.944444444,0.916666667,0.972222222,0.944444444,0.944444444
76,2,0.981818182,0.913580247,0.919753086,0.962264151,0.944444444,0.972222222,0.916666667,1
77,2,0.943396226,0.969325153,0.950617284,0.981481481,0.972222222,0.944444444,0.972222222,1
78,2,0.909090909,0.962962963,0.925465839,0.944444444,0.888888889,0.972222222,0.916666667,0.972222222
79,2,0.851851852,0.926380368,0.937888199,0.925925926,0.861111111,0.944444444,0.833333333,0.888888889
80,2,0.927272727,0.907407407,0.97515528,0.888888889,0.885714286,0.888888889,0.945945946,0.833333333
81,2,0.944444444,0.957055215,0.937888199,0.888888889,1,0.942857143,0.945945946,0.888888889
82,2,0.963636364,0.937888199,0.938271605,0.907407407,0.971428571,0.972222222,0.972222222,0.837837838
83,2,0.925925926,0.838509317,0.895705521,0.666666667,0.916666667,0.888888889,0.914285714,0.702702703
84,2,0.814814815,0.819875776,0.87654321,0.909090909,0.621621622,0.722222222,0.666666667,0.542857143
