subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE,Experiment
43,1,1,612.0810811,635.5,663.3157895,640.2368421,0.925,0.925,0.95,0.95,661.7092768,687.027027,698.2271468,673.933518,1
44,1,1,635.2142857,658.4,621.4615385,632.3947368,0.7,0.875,0.975,0.95,907.4489796,752.4571429,637.3964497,665.6786704,1
45,1,1,587.90625,596.7,611.972973,637.6470588,0.8,0.75,0.925,0.85,734.8828125,795.6,661.5924032,750.1730104,1
46,1,1,675.375,709.6842105,733.2424242,774.6470588,1,0.95,0.825,0.425,675.375,747.0360111,888.7786961,1822.698962,1
47,1,1,600.9428571,632.5405405,632.025641,658.6842105,0.875,0.925,0.975,0.95,686.7918367,683.8276114,648.2314267,693.3518006,1
48,1,1,578.9,625.8205128,592.4324324,612.8461538,1,0.975,0.925,0.975,578.9,641.8671926,640.4674945,628.5601578,1
49,1,1,711.3421053,719,700.8285714,726.2647059,0.95,0.925,0.875,0.85,748.7811634,777.2972973,800.9469388,854.4290657,1
50,1,1,646.5142857,651.15,625,629.5833333,0.875,1,0.9,0.925,738.8734694,651.15,694.4444444,680.6306306,1
51,1,1,772.25,788.0645161,764.4516129,794.2,0.725,0.775,0.775,0.75,1065.172414,1016.85744,986.3891779,1058.933333,1
52,1,1,572.7948718,588.6052632,573.5,569.9473684,0.975,0.95,0.9,0.975,587.4819198,619.5844875,637.2222222,584.5614035,1
53,1,1,649.8888889,620.3636364,627.3783784,620.3513514,0.9,0.825,0.95,0.925,722.0987654,751.9559229,660.398293,670.6501096,1
54,1,1,703.8947368,740.3333333,715.175,753.225,0.95,0.9,1,1,740.9418283,822.5925926,715.175,753.225,1
55,1,1,610.1538462,612.2307692,614.9230769,646.2173913,0.975,1,0.975,0.575,625.7988166,612.2307692,630.6903353,1123.856333,1
56,1,1,589.6388889,603.3076923,623,602.3589744,0.9,0.975,0.95,0.975,655.154321,618.7771203,655.7894737,617.8040763,1
57,1,1,599.7272727,612.5675676,609.6857143,631.5,0.85,0.925,0.875,0.85,705.5614973,662.2352082,696.7836735,742.9411765,1
58,1,1,682.1212121,686.75,688.2413793,710.5625,0.825,0.925,0.725,0.8,826.8135904,742.4324324,949.2984542,888.203125,1
59,1,1,579.525,596.0769231,595.1282051,612.2972973,1,0.975,0.975,0.925,579.525,611.3609467,610.3879027,661.9430241,1
60,1,1,610.8947368,606.2368421,571.2307692,572.2894737,0.95,0.95,0.975,0.95,643.0470914,638.1440443,585.877712,602.4099723,1
61,1,2,579.4102564,677.0789474,581.85,612.55,1,0.95,1,1,579.4102564,712.7146814,581.85,612.55,1
62,1,2,723.3714286,744.0294118,714.8333333,731.4594595,0.875,0.85,0.925,0.925,826.7102041,875.3287197,772.7927928,790.7669832,1
63,1,2,645.7058824,665.027027,615.6785714,645.8888889,0.85,0.925,0.7,0.675,759.6539792,718.9481373,879.5408163,956.872428,1
64,1,2,643.8974359,652.925,621.6,616.7692308,0.975,1,1,0.975,660.4076266,652.925,621.6,632.5838264,1
65,1,2,671.2051282,718.1842105,689.7435897,732.3157895,0.975,0.95,0.975,0.95,688.4155161,755.9833795,707.4293228,770.8587258,1
66,1,2,674.2162162,661.25,686.4242424,707.3030303,0.925,0.9,0.825,0.825,728.8823959,734.7222222,832.0293848,857.3370064,1
67,1,2,924.4444444,931.35,925.7391304,915.9565217,0.45,0.5,0.575,0.6,2054.320988,1862.7,1609.981096,1526.594203,1
68,1,2,693.7027027,740.6842105,681.8181818,723.9411765,0.925,0.95,0.825,0.85,749.9488678,779.66759,826.446281,851.6955017,1
69,1,2,930.2962963,914.9565217,930.7419355,954.24,0.675,0.575,0.8,0.625,1378.216735,1591.228733,1163.427419,1526.784,1
70,1,2,624.9655172,683.2727273,619.9142857,650.8461538,0.725,0.55,0.875,0.975,862.0214031,1242.31405,708.4734694,667.5345168,1
71,1,2,587.9459459,584.8333333,575.0263158,632.5789474,0.925,0.925,0.95,0.95,635.6172389,632.2522523,605.2908587,665.8725762,1
72,1,2,560.5526316,597.4871795,582.2,588.0263158,0.95,0.975,0.9,0.95,590.0554017,612.8073636,646.8888889,618.9750693,1
73,1,2,914.8709677,914.2666667,916.3846154,931.3636364,0.8,0.75,0.65,0.55,1143.58871,1219.022222,1409.822485,1693.38843,1
74,1,2,622.4864865,682.8378378,648.4864865,663.025,0.925,0.95,0.925,1,672.9583638,718.7766714,701.0664719,663.025,1
75,1,2,652.8378378,641.2424242,633.7179487,642.9230769,0.925,0.825,0.975,1,705.7706355,777.2635445,649.9671269,642.9230769,1
76,1,2,687.7741935,754.03125,685.6666667,726.0689655,0.8,0.8,0.6,0.725,859.7177419,942.5390625,1142.777778,1001.474435,1
77,1,2,629.3333333,631,609.4722222,652.6666667,0.8,0.55,0.9,0.825,786.6666667,1147.272727,677.191358,791.1111111,1
78,1,2,621.974359,665.4615385,600.5405405,584.2820513,0.975,0.975,0.925,0.975,637.9224195,682.5246548,649.2330168,599.2636423,1
79,1,2,641.7777778,658.2571429,642.1315789,666,0.95,0.875,0.95,0.825,675.5555556,752.2938776,675.9279778,807.2727273,1
80,1,2,575.4736842,576,626.1081081,623.4571429,0.95,0.975,0.925,0.875,605.7617729,590.7692308,676.8736304,712.522449,1
81,1,2,554.7105263,560.9,557.375,555.225,0.95,1,1,1,583.9058172,560.9,557.375,555.225,1
82,1,2,637.925,677.9722222,646.0645161,701.1428571,1,0.9,0.8,0.7,637.925,753.3024691,807.5806452,1001.632653,1
83,1,2,574.2820513,574.3076923,570.75,561.3076923,0.975,1,1,0.975,589.0072321,574.3076923,570.75,575.7001972,1
84,1,2,677.9714286,700.8181818,705.2222222,687.9411765,0.875,0.825,0.9,0.85,774.8244898,849.476584,783.5802469,809.3425606,1
85,1,2,642.1351351,632.9428571,622.3076923,636.8378378,0.925,0.9,0.975,0.925,694.2001461,703.2698413,638.2642998,688.4733382,1
86,1,2,649.1818182,634.9117647,665.7647059,681.3157895,0.825,0.85,0.425,0.475,786.8870523,746.9550173,1566.50519,1434.34903,1
87,1,2,692.5833333,700.6285714,713.1428571,729.1578947,0.925,0.875,0.875,0.95,748.7387387,800.7183673,815.0204082,767.534626,1
88,1,2,592.0769231,632.5,671.3076923,716.1351351,0.975,0.95,1,0.925,607.2583826,665.7894737,671.3076923,774.2001461,1
89,1,2,640.4358974,693,624.4615385,666.9705882,0.975,0.9,0.975,0.875,656.8573307,770,640.4733728,762.2521008,1
90,1,2,622.8,605.775,621.2051282,629.2820513,1,1,0.975,0.975,622.8,605.775,637.1334648,645.4174885,1
91,2,1,705.75,693.7931034,695.1034483,709.516129,0.8,0.725,0.75,0.775,882.1875,956.9560048,926.8045977,915.5046826,0
92,2,1,672.7692308,671.65,656.0512821,680.8717949,0.975,1,0.975,0.975,690.0197239,671.65,672.8731098,698.330046,0
93,2,1,773.0416667,756.52,766.3461538,754.4,0.6,0.625,0.675,0.75,1288.402778,1210.432,1135.327635,1005.866667,0
94,2,1,675.6216216,707.6060606,696,677.6,0.925,0.825,0.9,0.875,730.4017531,857.7043159,773.3333333,774.4,0
95,2,1,664.1142857,682.3243243,652.5,660.5555556,0.875,0.925,1,0.925,758.9877551,737.6479182,652.5,714.1141141,0
96,2,1,738.5555556,770,815.5555556,815.3,0.9,0.775,0.675,0.75,820.617284,993.5483871,1208.230453,1087.066667,0
97,2,1,582.5675676,612.35,638.3888889,650.1470588,0.925,1,0.9,0.85,629.8027757,612.35,709.3209877,764.8788927,0
98,2,1,607.8378378,609.2777778,617.9428571,599.8571429,0.925,0.9,0.875,0.9,657.1219869,676.9753086,706.2204082,666.5079365,0
99,2,1,541.0263158,556.5555556,658.1388889,652,0.95,0.9,0.9,0.85,569.501385,618.3950617,731.2654321,767.0588235,0
100,2,1,625.3076923,627.4864865,613,611.425,0.975,0.925,0.975,1,641.3412229,678.3637692,628.7179487,611.425,0
101,2,1,760.56,756.8214286,729.4,755.4074074,0.625,0.7,0.625,0.675,1216.896,1081.173469,1167.04,1119.122085,0
102,2,1,573.1052632,585.1052632,587.4722222,626.1025641,0.95,0.95,0.95,0.975,603.2686981,615.900277,618.3918129,642.156476,0
103,2,1,624.225,670.4117647,643.3030303,632.5833333,1,0.85,0.825,0.9,624.225,788.7197232,779.7612489,702.8703704,0
104,2,1,632.0512821,645.6410256,660.475,667.7222222,0.975,0.975,1,0.925,648.2577252,662.1959237,660.475,721.8618619,0
105,2,1,581.625,624.8055556,603.974359,640.4054054,0.8,0.9,0.975,0.975,727.03125,694.2283951,619.460881,656.8260568,0
106,2,2,685.7058824,699.03125,686.8181818,701.2058824,0.85,0.8,0.825,0.85,806.7128028,873.7890625,832.5068871,824.9480969,0
107,2,2,705.15,741.8648649,727.8181818,731.6756757,1,0.925,0.825,0.925,705.15,802.0160701,882.2038567,791.0007305,0
108,2,2,614.1764706,632.0789474,614.3076923,630.1,0.875,0.95,0.975,1,701.9159664,665.3462604,630.0591716,630.1,0
109,2,2,687.575,660.1944444,656.625,675.6176471,1,0.9,1,0.85,687.575,733.5493827,656.625,794.8442907,0
110,2,2,609.4516129,595.3611111,599.8235294,617.4102564,0.8,0.9,0.875,0.975,761.8145161,661.5123457,685.512605,633.2412886,0
111,2,2,658.4871795,644.4358974,623.9230769,651.3076923,0.975,0.975,0.975,0.975,675.3714661,660.9598948,639.9211045,668.0078895,0
112,2,2,667.1428571,692.28,688.5714286,688.4242424,0.743589744,0.625,0.875,0.825,897.1921182,1107.648,786.9387755,834.4536272,0
113,2,2,676.2432432,722.1071429,647.2758621,683.875,0.925,0.7,0.725,0.8,731.0737765,1031.581633,892.7942925,854.84375,0
114,2,2,720.68,715.9583333,743.1481481,741.6774194,0.625,0.6,0.692307692,0.794871795,1153.088,1193.263889,1073.436214,933.0780437,0
115,2,2,739.8,794.1428571,699.78125,758.8571429,0.421052632,0.35,0.825,0.875,1757.025,2268.979592,848.219697,867.2653061,0
116,2,2,644.5294118,681.7058824,632.8235294,681.7631579,0.871794872,0.85,0.875,0.95,739.3131488,802.0069204,723.2268908,717.6454294,0
117,2,2,735.1212121,747.3611111,761.7142857,752.2571429,0.825,0.9,0.875,0.9,891.0560147,830.4012346,870.5306122,835.8412698,0
118,2,2,701.6,696.15,660.4545455,657.8888889,1,1,0.868421053,0.95,701.6,696.15,760.523416,692.5146199,0
119,2,2,646.5517241,683.3333333,686.9117647,721.3636364,0.725,0.6,0.85,0.85,891.7954816,1138.888889,808.1314879,848.6631016,0
120,2,2,526,555.6176471,496.5454545,514.675,0.95,0.85,0.825,1,553.6842105,653.6678201,601.8732782,514.675,0
121,2,1,640.3235294,621.8235294,669.4857143,667.0666667,0.85,0.85,0.875,0.75,753.3217993,731.5570934,765.1265306,889.4222222,1
122,2,1,620.05,653.1351351,668.4102564,674.1578947,1,0.95,0.975,0.95,620.05,687.5106686,685.5489809,709.6398892,1
123,2,1,656.3157895,679.45,694.3421053,702.1842105,0.95,1,0.95,0.95,690.8587258,679.45,730.8864266,739.1412742,1
124,2,1,727.9354839,715.5714286,765.4666667,744.6666667,0.775,0.875,0.75,0.75,939.2715921,817.7959184,1020.622222,992.8888889,1
125,2,1,575.7179487,593.3421053,585.2894737,615.3636364,0.975,0.95,0.95,0.85,590.4799474,624.5706371,616.0941828,723.9572193,1
126,2,1,630.6756757,657.3157895,635.9459459,636.1714286,0.925,0.95,0.95,0.875,681.8115413,691.9113573,669.4167852,727.0530612,1
127,2,1,613.6842105,614.025641,606.4864865,631.8823529,0.95,1,0.925,0.85,645.9833795,614.025641,655.6610665,743.3910035,1
128,2,1,604.0769231,625.8717949,623.7714286,648.9428571,0.975,0.975,0.875,0.875,619.566075,641.9197896,712.8816327,741.6489796,1
129,2,1,653.8,656.2121212,700.3030303,701.8518519,0.875,0.825,0.825,0.675,747.2,795.4086318,848.8521579,1039.780521,1
130,2,1,633.2702703,677.9189189,686.9090909,704.7027027,0.925,0.925,0.825,0.925,684.6165084,732.8853178,832.6170799,761.8407597,1
131,2,1,667.025641,682.0571429,674.6153846,669.7948718,0.975,0.875,0.975,0.975,684.1288626,779.4938776,691.913215,686.9690993,1
132,2,1,603.0833333,643.8823529,636.5142857,649.030303,0.9,0.85,0.875,0.825,670.0925926,757.5086505,727.444898,786.7033976,1
133,2,1,750.5789474,770.3571429,783.6666667,777.2,0.95,0.725,0.9,0.75,790.0831025,1062.561576,870.7407407,1036.266667,1
134,2,1,619.7714286,671.8108108,658.5,649.9166667,0.9,0.925,0.95,0.9,688.6349206,726.2819576,693.1578947,722.1296296,1
135,2,1,630.8947368,668.5,661.9473684,669.5,0.975,0.95,0.95,0.85,647.071525,703.6842105,696.7867036,787.6470588,1
136,2,1,706.3103448,721.0322581,765.4482759,773.1612903,0.725,0.775,0.75,0.775,974.2211653,930.364204,1020.597701,997.6274714,1
137,2,1,660.75,667.9459459,672.5128205,685,1,0.925,0.975,0.925,660.75,722.1037253,689.756739,740.5405405,1
138,2,1,520.7777778,563.3157895,600.4871795,577.3333333,0.9,0.95,0.975,0.975,578.6419753,592.9639889,615.8842867,592.1367521,1
139,2,1,606.6756757,610.8,648.0857143,633.34375,0.925,1,0.9,0.8,655.8655953,610.8,720.0952381,791.6796875,1
140,2,1,594.8648649,660.65,624.85,673.0789474,0.95,1,1,0.95,626.173542,660.65,624.85,708.5041551,1
141,2,1,684.4285714,712.9411765,703.2105263,712.3428571,0.875,0.85,0.95,0.875,782.2040816,838.7543253,740.2216066,814.1061224,1
142,2,1,705.5384615,741.8421053,687.0294118,694.3030303,0.975,0.95,0.85,0.825,723.6291913,780.8864266,808.2698962,841.5794307,1
143,2,1,585.8,657.7894737,587.4473684,652.3243243,1,0.95,0.95,0.925,585.8,692.4099723,618.365651,705.2154858,1
144,2,1,596.0526316,596.5128205,585.9473684,594.3846154,0.975,0.975,0.95,0.975,611.3360324,611.808021,616.7867036,609.6252465,1
145,2,1,628.6388889,652.2857143,626.3846154,633.15,0.9,0.9,0.975,1,698.4876543,724.7619048,642.4457594,633.15,1
146,2,1,889,886.25,881.9142857,887.1388889,0.825,0.9,0.875,0.9,1077.575758,984.7222222,1007.902041,985.7098765,1
147,2,1,629.9,663.6060606,684,685.6969697,1,0.825,0.8,0.825,629.9,804.3709826,855,831.1478421,1
148,2,1,698.4,731.5641026,665.8205128,711.55,1,0.975,0.975,1,698.4,750.3221565,682.8928337,711.55,1
149,2,1,670.6578947,687.8205128,614.025641,633.525,0.95,0.975,0.975,1,705.9556787,705.4569362,629.7698882,633.525,1
150,2,1,571.2285714,594.0294118,569.9333333,596.75,0.875,0.85,0.75,0.8,652.8326531,698.8581315,759.9111111,745.9375,1
151,2,2,679.1176471,766.2307692,689.4571429,749,0.85,0.65,0.875,0.9,798.9619377,1178.816568,787.9510204,832.2222222,1
152,2,2,518.7894737,534.5405405,524.875,522.3783784,0.95,0.925,1,0.925,546.0941828,577.8816654,524.875,564.733382,1
153,2,2,645.3947368,667.975,632.2368421,661.475,0.975,1,0.95,1,661.9433198,667.975,665.5124654,661.475,1
154,2,2,731.4594595,690,701.4324324,738.1794872,0.925,0.95,0.925,0.975,790.7669832,726.3157895,758.3053324,757.1071663,1
155,2,2,641.5263158,713.5151515,661.4545455,679.9285714,0.95,0.825,0.825,0.725,675.2908587,864.8668503,801.7630854,937.8325123,1
156,2,2,564.09375,548.6896552,560.9166667,552.9705882,0.8,0.725,0.9,0.85,705.1171875,756.8133175,623.2407407,650.5536332,1
157,2,2,719.9487179,737.8205128,721.575,716.7222222,0.975,0.975,1,0.9,738.4089415,756.7389875,721.575,796.3580247,1
158,2,2,677.5675676,701.9487179,720.4722222,700.6944444,0.925,0.975,0.9,0.9,732.5054785,719.947403,800.5246914,778.5493827,1
159,2,2,653.0789474,627.9705882,648,623.4615385,0.95,0.85,0.975,0.975,687.4515235,738.7889273,664.6153846,639.4477318,1
160,2,2,616.9189189,686.5882353,631.3333333,660.6486486,0.925,0.85,0.825,0.925,666.9393718,807.7508651,765.2525253,714.2147553,1
161,2,2,703.5833333,668.95,712.2820513,685,0.6,0.525,1,0.975,1172.638889,1274.190476,712.2820513,702.5641026,1
162,2,2,636.6285714,710.3571429,600.4210526,647.8529412,0.875,0.7,0.95,0.85,727.5755102,1014.795918,632.0221607,762.1799308,1
163,2,2,611.2820513,648.5526316,624.1794872,631.1025641,0.975,0.95,0.975,0.975,626.95595,682.6869806,640.1840894,647.2846811,1
164,2,2,662.0689655,690.4642857,700.34375,709.3421053,0.725,0.7,0.825,0.95,913.1985731,986.377551,848.9015152,746.6759003,1
165,2,2,707.2424242,737.8484848,689.4333333,738.2413793,0.825,0.825,0.75,0.725,857.2635445,894.3617998,919.2444444,1018.263971,1
166,2,2,749.0540541,711.6,743.3939394,758.9310345,0.95,0.9,0.825,0.725,788.4779516,790.6666667,901.0835629,1046.801427,1
167,2,2,620.0833333,656.6486486,657.925,617.5675676,0.9,0.925,1,0.925,688.9814815,709.890431,657.925,667.6406136,1
168,2,2,580.975,585.6,586.3589744,601.974359,1,1,0.975,0.975,580.975,585.6,601.3938199,617.4095989,1
169,2,2,702.8974359,733.5,694.6363636,736.3666667,0.975,0.7,0.825,0.75,720.9204471,1047.857143,841.9834711,981.8222222,1
170,2,2,676.1333333,703.6551724,634.4444444,662.5,0.75,0.725,0.9,0.9,901.5111111,970.5588585,704.9382716,736.1111111,1
171,2,2,664.3783784,664.5405405,673.7777778,657.03125,0.925,0.925,0.9,0.8,718.2468955,718.422206,748.6419753,821.2890625,1
172,2,2,734.6060606,748.6129032,716.8857143,751.9090909,0.825,0.775,0.9,0.825,890.4315886,965.9521332,796.5396825,911.4049587,1
173,2,2,691.675,684.4358974,696.9,693.4594595,1,0.975,1,0.95,691.675,701.9855358,696.9,729.9573257,1
174,2,2,696.4166667,721.3333333,669.6111111,727.7647059,0.9,0.925,0.9,0.85,773.7962963,779.8198198,744.0123457,856.1937716,1
175,2,2,595.8974359,629.3235294,624,625.7368421,0.975,0.85,0.975,0.95,611.1768573,740.3806228,640,658.6703601,1
176,2,2,676.6666667,685.6785714,696.8918919,694.1764706,0.9,0.7,0.925,0.85,751.8518519,979.5408163,753.3966399,816.6782007,1
177,2,2,675.5277778,708.1081081,698.8684211,696.0540541,0.9,0.95,0.95,0.925,750.5864198,745.3769559,735.6509695,752.4908692,1
178,2,2,807.72,799.5555556,812.2592593,832.59375,0.625,0.675,0.675,0.8,1292.352,1184.526749,1203.347051,1040.742188,1
179,2,2,728.88,769.9259259,646.9714286,653.3421053,0.625,0.675,0.875,0.95,1166.208,1140.631001,739.3959184,687.7285319,1
180,2,2,571.9393939,607.3421053,574.3421053,584.3823529,0.825,0.95,0.95,0.85,693.2598714,639.3074792,604.5706371,687.5086505,1
