subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
115,2,528.5617658,570.4367322,561.9927468,638.2218198,515.9314286,594.1062619,550.8056641,557.4394464,0
116,2,672.7962963,693.2449262,707.8359325,712.2013575,653.9166667,663.6571429,678.4207792,692.4285714,0
117,2,641.5752937,662.8461311,698.409908,779.2,644.5170455,647.4380165,648.1280864,689.0273438,0
118,2,662.897929,687.6257459,634.0020833,596,680,722.2422145,645.7742215,722.0441176,0
119,2,689.8550604,714.5908273,772.3934821,824.6901028,971.25,1376.384083,1143.279503,2138.75,0
120,2,788.88,816.7844251,814.1769464,968.2681406,1018.399306,863.44,828.56,851.0444444,0
121,2,625.3326475,699.8476056,634.3203957,729.820908,575.0657439,604.8055556,591.9869388,627.0655462,1
122,2,620.7962963,637.6684869,640.5353107,626.5925926,632.6008163,672.3278237,634.922449,605.9190476,1
123,2,665.8782485,650.1372206,669.3598694,662.2988166,617.3485714,607.2975779,653.449827,631.0890756,1
124,2,552.5185185,591.5772627,594.7519894,623.2698962,629.7357955,597.6528926,580.9411765,567.798574,1
125,2,794.6890211,781.3717141,666.5595471,656.2296,632.5432526,646.4415584,612.2285714,740.5058594,1
126,2,924.0696,952.5808328,972.6022405,1078.459302,931.4894399,999.6827586,1088.809524,1062.037037,1
127,2,597.2830189,632.308136,617.4885778,626.3144796,606.9411765,639.75,668.0330579,623.1085714,1
128,2,686.9284443,731.5076394,736.0107616,683.6612841,681.9134694,712.1969697,670.25,688.546875,1
129,2,562.3958704,578.5783486,586.3886085,569.5603418,566.9779592,578.1176471,597.4411765,567.1122995,1
130,2,573.3918367,554.3207804,558.7458042,563.5884656,551.4906122,563.8613445,578.6446281,557.3714286,1
131,2,583.1296296,619.4197813,624.0802199,599.0185185,615.1820988,614.8051948,653.9761249,625.2513369,1
132,2,1012.261657,1044.01493,1152.659109,1188.424036,964.40625,1026.372043,1150.095238,1030.827778,1
133,2,612.6666667,693.1140203,686.5020694,668.6666667,639.3425606,609.0833333,633.9238754,646.5,1
134,2,531.7986968,588.36951,557.6552917,604.3446746,528.4506122,566.3148789,525.717551,530.5008403,1
135,2,650.154321,692.6497696,646.8699194,704.615917,684.1818182,639.2571429,662.8546713,675.0934256,1
136,2,644.4393004,729.4347326,664.9978259,651.1806997,640.7536765,640.2710204,673.4876033,621.6571429,1
137,2,564.6987755,558.8307905,538.9699675,558.3972944,534.357551,546.7577855,503.5004082,500.6388889,1
138,2,640.222,615.23619,646.2530344,627.4463668,677.390625,648.0605042,665.3489736,638.107563,1
139,2,716.8015123,680.66431,652.9268783,692.928,775.3673257,701.1727941,754.4,717.328125,1
140,2,618.5544022,666.9379071,642.8930274,727.03125,847.3204995,857.9179688,821.3697959,937.36,1
141,2,596.0761246,611.7066989,633.7874488,663.6328125,556.9166667,600.2035985,610.8420168,684.6679688,1
142,2,602.8266287,595.0485802,628.0904605,691.3619325,550.8961397,568.6184874,587.4318367,700.5731183,1
