subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
44,1,0.925925926,0.906832298,0.925925926,0.836363636,0.972222222,0.861111111,0.891891892,0.942857143,1
45,1,0.945454545,0.944099379,0.919753086,0.907407407,1,0.972222222,0.972222222,0.864864865,1
46,1,1,0.962962963,0.987654321,0.945454545,0.972222222,0.945945946,1,0.914285714,1
47,1,0.962962963,0.845679012,0.895061728,0.87037037,0.885714286,0.864864865,0.916666667,0.944444444,1
48,1,0.981481481,0.969135802,0.937888199,0.890909091,0.972222222,0.972222222,0.888888889,0.972222222,1
49,1,0.759259259,0.757763975,0.734567901,0.709090909,0.861111111,0.861111111,0.945945946,0.8,1
50,1,1,1,0.98757764,0.981818182,0.972222222,1,0.945945946,1,1
51,1,0.962962963,0.950310559,0.956790123,0.872727273,1,1,1,0.944444444,1
52,1,1,0.99382716,0.987730061,0.981132075,1,1,0.972222222,0.972222222,1
53,1,0.907407407,0.901840491,0.937888199,0.833333333,0.972222222,0.888888889,0.972222222,0.972222222,1
54,1,0.62962963,0.685185185,0.654320988,0.62962963,0.944444444,0.891891892,0.914285714,0.972222222,1
55,1,0.944444444,0.932098765,0.913580247,0.87037037,0.945945946,0.971428571,0.916666667,0.861111111,1
56,1,0.925925926,0.864197531,0.932098765,0.907407407,1,0.942857143,1,0.891891892,1
57,1,0.909090909,0.907407407,0.894409938,0.888888889,0.942857143,0.944444444,0.810810811,0.916666667,1
58,1,0.962962963,0.962962963,0.925925926,0.944444444,0.944444444,0.944444444,0.972222222,0.944444444,1
59,1,1,0.975460123,0.97515528,1,0.972222222,1,1,0.972972973,1
60,1,0.924528302,0.950617284,0.913580247,0.909090909,1,0.944444444,0.916666667,0.972222222,1
61,1,0.909090909,0.913580247,0.962732919,0.888888889,0.914285714,0.916666667,0.891891892,0.972222222,1
62,1,0.907407407,0.925465839,0.925925926,0.8,0.945945946,1,0.972222222,1,1
63,1,0.925925926,0.864197531,0.932098765,0.907407407,0.942857143,1,0.945945946,0.833333333,1
64,1,0.962962963,0.801242236,0.858895706,0.833333333,0.833333333,0.594594595,0.742857143,0.888888889,1
65,1,1,0.987654321,0.963190184,1,1,1,0.972222222,1,1
66,1,0.925925926,0.97515528,0.938650307,0.925925926,0.972222222,0.972222222,1,0.918918919,1
67,1,1,0.98136646,0.99382716,0.981818182,0.945945946,0.944444444,0.972222222,1,1
68,1,0.981132075,0.882716049,0.932515337,0.944444444,0.972222222,0.918918919,0.971428571,0.916666667,1
69,1,1,0.919254658,0.957055215,0.925925926,0.972222222,0.864864865,1,0.972222222,1
70,1,0.909090909,0.932098765,0.969135802,0.943396226,0.971428571,0.972222222,0.972222222,0.945945946,1
71,1,1,0.981481481,1,1,1,1,0.972972973,1,1
72,1,0.962962963,0.913580247,0.981481481,0.611111111,1,0.888888889,0.971428571,0.945945946,1
73,1,0.888888889,0.957055215,0.968944099,0.981481481,1,0.916666667,1,0.944444444,1
74,1,0.981818182,0.962732919,0.919753086,0.962962963,0.942857143,0.972222222,1,0.972972973,1
75,1,0.944444444,0.881987578,0.950617284,0.890909091,0.944444444,0.944444444,0.972972973,0.885714286,1
76,1,0.907407407,0.968944099,0.932098765,0.872727273,0.972222222,0.945945946,1,0.885714286,1
77,1,0.962962963,0.944444444,0.975460123,0.830188679,0.972222222,0.972222222,1,0.972972973,1
78,1,0.981481481,0.90797546,0.937888199,0.777777778,0.972222222,0.942857143,0.972972973,0.916666667,1
79,1,0.944444444,0.773006135,0.845679012,0.867924528,0.944444444,0.833333333,0.944444444,0.861111111,1
80,1,0.703703704,0.906832298,0.889570552,0.685185185,0.805555556,0.833333333,0.861111111,0.833333333,1
81,1,0.981481481,0.987654321,0.99382716,0.981481481,1,1,0.972972973,0.944444444,1
82,1,0.962962963,0.962732919,0.950920245,0.888888889,1,0.888888889,0.861111111,0.888888889,1
83,1,0.909090909,0.932098765,0.857142857,0.796296296,0.888888889,0.888888889,0.722222222,0.75,1
84,1,0.962962963,0.944444444,0.962732919,0.927272727,0.972222222,1,0.945945946,0.914285714,1
85,1,0.962962963,0.97515528,0.963190184,0.944444444,0.972972973,0.916666667,0.942857143,0.972222222,1
86,1,0.944444444,0.938271605,0.888888889,0.833333333,0.888888889,0.942857143,0.891891892,0.833333333,1
87,1,0.907407407,0.773006135,0.820987654,0.679245283,0.888888889,0.805555556,0.916666667,0.861111111,1
88,1,0.796296296,0.740740741,0.759259259,0.611111111,0.888888889,0.945945946,0.885714286,0.861111111,1
89,1,0.927272727,0.875776398,0.820987654,0.740740741,0.828571429,0.888888889,0.756756757,0.833333333,1
90,1,0.963636364,0.888888889,0.919753086,0.924528302,0.914285714,0.944444444,0.944444444,0.891891892,1
91,2,0.905660377,0.913580247,0.895705521,0.851851852,0.72972973,0.611111111,0.714285714,0.666666667,0
92,2,0.962962963,0.944785276,0.950310559,0.87037037,0.944444444,0.916666667,1,0.972222222,0
93,2,0.759259259,0.695652174,0.709876543,0.654545455,0.722222222,0.722222222,0.722222222,0.805555556,0
94,2,0.962962963,0.99378882,0.932515337,0.944444444,0.945945946,0.916666667,0.942857143,0.972222222,0
95,2,0.62962963,0.652173913,0.73006135,0.666666667,0.666666667,0.694444444,0.857142857,0.783783784,0
96,2,0.907407407,0.932098765,0.931677019,0.981818182,1,0.944444444,0.916666667,0.888888889,0
97,2,1,0.975308642,0.981481481,0.981481481,0.945945946,1,1,0.971428571,0
98,2,0.759259259,0.808641975,0.889570552,0.773584906,0.864864865,0.972222222,0.914285714,0.972222222,0
99,2,0.981481481,0.969135802,0.981481481,0.888888889,0.944444444,0.945945946,0.944444444,0.971428571,0
100,2,0.814814815,0.826086957,0.834355828,0.814814815,0.777777778,0.702702703,0.857142857,0.888888889,0
101,2,0.944444444,0.882716049,0.907407407,0.814814815,0.916666667,0.810810811,0.861111111,0.8,0
102,2,0.981481481,0.895061728,0.98136646,0.8,0.972222222,0.918918919,1,1,0
103,2,0.709090909,0.74691358,0.763975155,0.685185185,0.914285714,0.675675676,0.833333333,0.888888889,0
104,2,0.777777778,0.863354037,0.834355828,0.759259259,0.916666667,1,0.972222222,0.888888889,0
